County,Year,Total,Felony Total,Drug Felony,Violent Felony,DWI Felony,Other Felony,Misdemeanor Total,Drug Misd,DWI Misd,Property Misd,Other Misd
Rockland,1999,3896,1081,203,286,70,522,2815,308,574,948,985
Saratoga,1999,3432,713,45,160,111,397,2719,61,754,685,1219
Schenectady,1999,3286,996,242,236,71,447,2290,238,362,624,1066
Schoharie,1999,624,112,7,17,18,70,512,7,132,144,229
Schuyler,1999,425,126,3,31,25,67,299,5,72,51,171
Seneca,1999,1006,195,13,48,30,104,811,27,120,161,503
Steuben,1999,2660,612,72,116,135,289,2048,42,454,456,1096
St. Lawrence,1999,2571,541,63,80,63,335,2030,45,502,486,997
Suffolk,1999,24313,6969,1241,1638,543,3547,17344,3080,4098,3801,6365
Sullivan,1999,2160,584,68,167,42,307,1576,127,297,420,732
Tioga,1999,1074,209,21,40,35,113,865,18,237,161,449
Tompkins,1999,2019,349,32,104,37,176,1670,78,391,428,773
Ulster,1999,4867,1202,202,253,142,605,3665,280,943,864,1578
Unknown-NonNYS,1999,98,89,14,23,2,50,9,1,1,3,4
Warren,1999,2052,491,21,83,86,301,1561,25,415,375,746
Washington,1999,1500,365,26,94,39,206,1135,19,367,221,528
Wayne,1999,2182,490,52,88,82,268,1692,71,303,463,855
Westchester,1999,15820,4845,858,1411,164,2412,10975,1603,1874,3858,3640
Wyoming,1999,737,185,19,46,32,88,552,18,151,108,275
Yates,1999,421,96,1,25,15,55,325,3,61,85,176
Albany,1998,10291,3014,763,695,118,1438,7277,972,1204,2137,2964
Allegany,1998,1151,237,16,57,27,137,914,13,229,223,449
Bronx,1998,74475,30432,12944,9440,44,8004,44043,18139,613,14260,11031
Broome,1998,6132,1617,331,354,128,804,4515,214,701,1431,2169
Cattaraugus,1998,2060,416,35,80,73,228,1644,46,406,435,757
Cayuga,1998,1948,433,62,130,24,217,1515,31,303,543,638
Chautauqua,1998,3950,837,174,183,118,362,3113,94,760,800,1459
Chemung,1998,2746,599,105,117,117,260,2147,56,411,627,1053
Chenango,1998,1116,218,8,46,30,134,898,20,208,204,466
Clinton,1998,1771,465,49,119,66,231,1306,28,379,322,577
Columbia,1998,1327,369,46,117,31,175,958,57,197,251,453
Cortland,1998,1332,267,8,75,15,169,1065,14,245,264,542
Delaware,1998,1119,187,10,34,30,113,932,18,196,237,481
Dutchess,1998,5646,1517,228,319,137,833,4129,264,865,1316,1684
Erie,1998,28521,8702,1690,2804,311,3897,19819,2853,2581,6130,8255
Essex,1998,766,193,12,44,24,113,573,9,196,100,268
Franklin,1998,1217,317,55,53,39,170,900,22,278,211,389
Fulton,1998,1475,285,26,67,34,158,1190,36,297,317,540
Genesee,1998,1446,365,32,65,59,209,1081,26,324,276,455
Greene,1998,1092,278,21,56,34,167,814,32,264,187,331
Hamilton,1998,83,18,2,6,5,5,65,1,32,14,18
Herkimer,1998,1390,324,32,93,33,166,1066,8,293,274,491
Jefferson,1998,2944,681,74,136,98,373,2263,108,604,565,986
Kings,1998,95695,39480,11150,14885,290,13155,56215,21836,1217,15688,17474
Lewis,1998,413,112,11,21,22,58,301,2,87,68,144
Livingston,1998,1424,260,27,52,34,147,1164,26,265,309,564
Madison,1998,1461,245,14,62,7,162,1216,23,274,299,620
Monroe,1998,20682,5768,1505,1364,506,2393,14914,1145,2696,5454,5619
Montgomery,1998,1486,298,52,55,28,163,1188,57,216,326,589
Nassau,1998,19381,5820,1007,1648,299,2866,13561,1223,3790,4804,3744
New York,1998,112680,36577,16068,9342,184,10983,76103,29460,694,30526,15423
Niagara,1998,5837,1519,189,521,83,726,4318,209,630,1335,2144
Oneida,1998,5634,1086,211,325,29,521,4548,230,874,1281,2163
Onondaga,1998,14143,4625,861,1406,201,2157,9518,1047,1539,3231,3701
Ontario,1998,2438,543,47,92,121,283,1895,76,420,563,836
Orange,1998,9692,2468,577,589,225,1077,7224,758,1316,2374,2776
Orleans,1998,929,238,39,72,38,89,691,24,225,151,291
Oswego,1998,2637,637,42,173,65,357,2000,22,481,559,938
Otsego,1998,1418,277,16,58,42,161,1141,24,384,274,459
Putnam,1998,1429,312,58,72,17,165,1117,71,370,221,455
Queens,1998,52227,20007,4551,7927,214,7315,32220,10620,1284,7979,12337
Rensselaer,1998,3434,930,180,246,51,453,2504,128,538,652,1186
Richmond,1998,10352,3699,1266,1182,3,1248,6653,2532,438,1289,2394
Rockland,1998,3775,1225,331,279,77,538,2550,207,540,869,934
Saratoga,1998,3611,768,64,186,95,423,2843,78,705,756,1304
Schenectady,1998,3817,1181,347,246,88,500,2636,354,448,680,1154
Schoharie,1998,764,166,7,20,24,115,598,20,155,155,268
Schuyler,1998,432,97,5,21,17,54,335,9,88,53,185
Seneca,1998,1087,210,21,55,35,99,877,15,132,173,557
Steuben,1998,2502,640,73,128,123,316,1862,42,477,481,862
St. Lawrence,1998,2597,538,50,118,77,293,2059,46,512,547,954
Suffolk,1998,25642,7547,1242,1782,562,3961,18095,2596,5059,3570,6870
Sullivan,1998,2089,598,77,183,48,290,1491,97,325,438,631
Tioga,1998,1298,263,12,31,79,141,1035,29,261,192,553
Tompkins,1998,2055,356,43,80,34,199,1699,88,370,502,739
Ulster,1998,5194,1258,206,287,139,626,3936,348,941,899,1748
Unknown-NonNYS,1998,80,76,10,20,0,46,4,0,2,1,1
Unknown NYC county,1998,39,24,3,4,0,17,15,1,0,3,11
Warren,1998,2184,557,34,113,69,341,1627,20,386,461,760
Washington,1998,1587,367,24,86,46,211,1220,16,394,217,593
Wayne,1998,2464,605,90,111,85,319,1859,102,312,474,971
Westchester,1998,15795,4735,685,1362,206,2482,11060,1657,1999,3773,3631
Wyoming,1998,896,174,13,52,31,78,722,27,262,128,305
Yates,1998,426,109,9,15,24,61,317,1,68,88,160
Albany,1997,10404,3152,755,840,153,1404,7252,923,1167,2309,2853
Allegany,1997,1161,208,22,58,26,102,953,12,218,232,491
Bronx,1997,69232,29363,11836,9613,46,7868,39869,12433,762,15780,10894
Broome,1997,6103,1562,302,359,106,795,4541,195,688,1451,2207
Cattaraugus,1997,2128,401,41,90,67,203,1727,45,375,495,812
Cayuga,1997,1848,385,62,80,30,213,1463,52,293,504,614
Chautauqua,1997,4139,843,142,187,127,387,3296,73,772,867,1584
Chemung,1997,2744,537,80,120,103,234,2207,52,392,674,1089
Chenango,1997,1172,212,9,39,26,138,960,7,191,285,477
Clinton,1997,2129,571,84,127,59,301,1558,35,414,393,716
Columbia,1997,1447,432,91,120,50,171,1015,78,183,277,477
Cortland,1997,1417,244,7,73,14,150,1173,24,250,319,580
Delaware,1997,1228,231,7,46,27,151,997,14,218,243,522
Dutchess,1997,5708,1520,281,354,124,761,4188,233,877,1331,1747
Erie,1997,30231,9254,1875,3072,353,3954,20977,3631,2604,6562,8180
Essex,1997,735,187,19,40,19,109,548,8,159,122,259
Franklin,1997,1198,304,41,54,45,164,894,29,239,214,412
Fulton,1997,1512,266,23,64,24,155,1246,20,241,404,581
Genesee,1997,1493,376,35,62,65,214,1117,27,322,335,433
Greene,1997,1190,311,36,71,32,172,879,44,272,234,329
Hamilton,1997,65,10,1,2,2,5,55,3,30,10,12
Herkimer,1997,1314,296,27,89,32,148,1018,17,276,240,485
Jefferson,1997,2777,652,62,154,68,368,2125,44,624,567,890
Kings,1997,92838,39930,10552,15660,287,13431,52908,17476,1264,16293,17875
Lewis,1997,391,118,4,35,14,65,273,3,73,60,137
Livingston,1997,1392,233,26,46,26,135,1159,29,304,293,533
Madison,1997,1441,291,22,64,6,199,1150,30,248,351,521
Monroe,1997,19916,5385,1121,1340,431,2493,14531,1014,2238,5678,5601
Montgomery,1997,1429,278,42,55,23,158,1151,47,232,278,594
Nassau,1997,21543,6349,1125,1696,368,3160,15194,1490,4144,5629,3931
New York,1997,114490,37114,14589,10339,131,12055,77376,24184,782,35867,16543
Niagara,1997,5744,1500,171,496,74,759,4244,180,659,1359,2046
Oneida,1997,5711,1155,197,327,18,613,4556,234,879,1312,2131
Onondaga,1997,14199,4652,707,1541,198,2206,9547,777,1413,3456,3901
Ontario,1997,2682,594,49,95,115,335,2088,84,431,655,918
Orange,1997,9994,2510,568,639,229,1074,7484,775,1242,2460,3007
Orleans,1997,932,247,43,55,41,108,685,12,211,198,264
Oswego,1997,2461,530,53,148,46,283,1931,38,414,568,911
Otsego,1997,1610,317,23,74,33,187,1293,27,338,351,577
Putnam,1997,1346,319,57,66,15,181,1027,60,379,219,369
Queens,1997,48734,19923,3801,8247,180,7695,28811,8268,1212,7980,11351
Rensselaer,1997,3381,997,233,264,66,434,2384,102,550,584,1148
Richmond,1997,10036,3980,952,1689,2,1337,6056,1466,541,1577,2472
Rockland,1997,3660,1163,320,338,62,443,2497,213,530,816,938
Saratoga,1997,3655,743,58,157,98,430,2912,65,703,774,1370
Schenectady,1997,3564,1135,232,261,77,565,2429,297,456,622,1054
Schoharie,1997,744,160,4,20,30,106,584,6,125,180,273
Schuyler,1997,384,89,6,25,17,41,295,8,101,45,141
Seneca,1997,1015,164,8,40,24,92,851,25,123,223,480
Steuben,1997,2275,547,66,110,95,276,1728,46,445,437,800
St. Lawrence,1997,2769,577,37,132,79,329,2192,30,493,643,1026
Suffolk,1997,25361,7440,1079,1775,575,4011,17921,2516,5372,3399,6634
Sullivan,1997,2290,694,78,224,54,338,1596,99,301,478,718
Tioga,1997,1153,236,14,46,58,118,917,18,181,203,515
Tompkins,1997,2233,415,56,91,46,222,1818,104,303,602,809
Ulster,1997,4803,1243,198,329,146,570,3560,257,868,902,1533
Unknown-NonNYS,1997,79,73,11,28,1,33,6,0,0,1,5
Unknown NYC county,1997,40,26,4,7,0,15,14,0,0,0,14
Warren,1997,2102,559,23,119,48,369,1543,19,342,420,762
Washington,1997,1574,350,38,82,46,184,1224,27,366,272,559
Wayne,1997,2563,568,67,104,108,289,1995,89,331,546,1029
Westchester,1997,16240,4923,778,1419,175,2551,11317,1686,2006,4016,3609
Wyoming,1997,852,168,17,35,35,81,684,14,221,144,305
Yates,1997,435,85,4,13,20,48,350,13,73,82,182
Albany,1996,9911,2838,640,776,139,1283,7073,832,1076,2538,2627
Allegany,1996,1262,270,20,68,35,147,992,16,223,260,493
Bronx,1996,65547,30496,13115,9561,52,7768,35051,11198,861,13127,9865
Broome,1996,5781,1419,307,301,120,691,4362,277,641,1435,2009
Cattaraugus,1996,2045,359,39,82,57,181,1686,45,396,469,776
Cayuga,1996,1973,376,66,97,19,194,1597,60,283,584,670
Chautauqua,1996,4068,837,138,190,120,389,3231,77,728,909,1517
Chemung,1996,2739,535,104,132,92,207,2204,66,446,651,1041
Chenango,1996,1211,243,15,49,25,154,968,5,198,238,527
Clinton,1996,2152,489,27,116,67,279,1663,30,442,420,771
Columbia,1996,1521,402,106,99,36,161,1119,77,192,350,500
Cortland,1996,1704,228,18,72,2,136,1476,25,285,463,703
Delaware,1996,1348,255,15,73,31,136,1093,17,249,293,534
Dutchess,1996,6097,1556,352,359,167,678,4541,283,922,1543,1793
Erie,1996,28698,8822,1840,2981,294,3707,19876,3199,2580,6581,7516
Essex,1996,820,221,4,57,22,138,599,8,169,136,286
Franklin,1996,1225,278,17,68,30,163,947,25,237,252,433
Fulton,1996,1617,329,26,79,37,187,1288,17,273,403,595
Genesee,1996,1537,343,26,81,75,161,1194,34,288,355,517
Greene,1996,1077,277,34,75,31,137,800,30,254,191,325
Hamilton,1996,84,13,0,1,2,10,71,2,42,10,17
Herkimer,1996,1332,323,24,107,47,145,1009,20,277,250,462
Jefferson,1996,2683,660,64,159,61,376,2023,40,526,610,847
Kings,1996,85699,40343,11665,16070,140,12468,45356,14390,1309,13943,15714
Lewis,1996,413,105,3,26,18,58,308,0,79,77,152
Livingston,1996,1350,224,19,43,26,136,1126,14,279,309,524
Madison,1996,1449,234,26,65,7,136,1215,9,285,361,560
Monroe,1996,21474,5154,1150,1491,368,2145,16320,1166,2092,6019,7043
Montgomery,1996,1655,286,67,51,27,141,1369,95,277,354,643
Nassau,1996,22174,6493,1121,1704,390,3278,15681,1249,4120,6164,4148
New York,1996,109299,38022,15068,10587,207,12160,71277,21904,898,31746,16729
Niagara,1996,6196,1620,245,566,79,730,4576,237,885,1430,2024
Oneida,1996,5686,1104,189,370,24,521,4582,246,1024,1339,1973
Onondaga,1996,15068,4616,881,1478,206,2051,10452,893,1662,3613,4284
Ontario,1996,2714,569,80,101,127,261,2145,68,461,616,1000
Orange,1996,9616,2392,565,620,194,1013,7224,701,1303,2248,2972
Orleans,1996,936,250,20,72,40,118,686,11,193,185,297
Oswego,1996,2532,523,37,150,53,283,2009,35,512,551,911
Otsego,1996,1753,378,38,82,35,223,1375,33,370,387,585
Putnam,1996,1321,364,71,88,23,182,957,83,301,219,354
Queens,1996,44601,19946,4475,7829,180,7462,24655,5688,1154,7782,10031
Rensselaer,1996,3312,852,150,276,60,366,2460,119,467,692,1182
Richmond,1996,9233,3774,1000,1596,0,1178,5459,1006,422,1724,2307
Rockland,1996,3685,1112,267,308,53,484,2573,255,467,754,1097
Saratoga,1996,4040,803,64,192,109,438,3237,61,784,888,1504
Schenectady,1996,3156,940,219,234,47,440,2216,221,439,720,836
Schoharie,1996,699,156,11,31,15,99,543,18,164,150,211
Schuyler,1996,481,101,5,19,25,52,380,10,114,66,190
Seneca,1996,975,147,13,29,22,83,828,13,132,191,492
Steuben,1996,2081,522,34,115,110,263,1559,24,387,419,729
St. Lawrence,1996,2689,473,27,128,70,248,2216,40,545,679,952
Suffolk,1996,24094,6938,1172,1796,500,3470,17156,2409,5301,2906,6540
Sullivan,1996,2169,636,63,216,47,310,1533,86,295,446,706
Tioga,1996,1154,241,22,42,34,143,913,29,184,171,529
Tompkins,1996,2271,428,52,90,44,242,1843,59,321,623,840
Ulster,1996,5105,1253,179,327,134,613,3852,395,780,997,1680
Unknown-NonNYS,1996,80,79,14,30,1,34,1,0,0,0,1
Unknown NYC county,1996,46,29,4,13,0,12,17,0,1,4,12
Warren,1996,2209,497,39,113,65,280,1712,24,336,496,856
Washington,1996,1596,326,23,82,42,179,1270,13,403,245,609
Wayne,1996,2859,628,117,116,115,280,2231,137,383,617,1094
Westchester,1996,15693,4687,671,1500,178,2338,11006,1491,1942,4086,3487
Wyoming,1996,836,163,18,38,19,88,673,34,186,155,298
Yates,1996,555,96,1,16,22,57,459,3,97,109,250
Albany,1995,10417,3010,753,868,145,1244,7407,1025,1102,2460,2820
Allegany,1995,1164,233,17,61,35,120,931,8,246,222,455
Bronx,1995,67349,31974,12662,10835,17,8460,35375,11712,1117,11906,10640
Broome,1995,5744,1450,342,316,130,662,4294,409,555,1575,1755
Cattaraugus,1995,1955,405,53,95,60,197,1550,29,421,461,639
Cayuga,1995,1806,408,64,94,33,217,1398,68,294,488,548
Chautauqua,1995,3872,838,134,206,128,370,3034,59,696,909,1370
Chemung,1995,2307,487,103,107,104,173,1820,68,397,545,810
Chenango,1995,1043,179,3,37,24,115,864,7,160,249,448
Clinton,1995,2177,438,49,92,74,223,1739,39,476,468,756
Columbia,1995,1430,391,87,100,36,168,1039,72,231,262,474
Cortland,1995,1522,261,19,83,7,152,1261,21,293,377,570
Delaware,1995,1377,232,8,57,28,139,1145,22,281,304,538
Dutchess,1995,5848,1572,373,360,168,671,4276,225,941,1434,1676
Erie,1995,27768,8491,1710,2928,332,3521,19277,2690,2821,6775,6991
Essex,1995,796,160,10,45,21,84,636,10,213,154,259
Franklin,1995,1233,301,15,71,29,186,932,17,242,299,374
Fulton,1995,1519,289,43,56,32,158,1230,14,265,406,545
Genesee,1995,1486,326,27,85,60,154,1160,30,350,386,394
Greene,1995,1154,279,32,55,27,165,875,38,291,259,287
Hamilton,1995,86,20,0,7,5,8,66,3,26,16,21
Herkimer,1995,1260,278,21,64,28,165,982,9,324,242,407
Jefferson,1995,2698,607,73,141,83,310,2091,56,618,569,848
Kings,1995,81260,39093,9848,16786,62,12397,42167,11839,1400,14963,13965
Lewis,1995,468,145,9,31,17,88,323,3,108,87,125
Livingston,1995,1393,190,5,33,23,129,1203,16,346,378,463
Madison,1995,1352,229,25,69,8,127,1123,21,291,365,446
Monroe,1995,20308,4868,969,1502,377,2020,15440,1009,1934,6128,6369
Montgomery,1995,1445,228,41,49,39,99,1217,30,285,330,572
Nassau,1995,19935,6204,970,1749,366,3119,13731,1250,3440,5465,3576
New York,1995,114384,40598,16223,11562,101,12712,73786,22927,1117,33513,16229
Niagara,1995,5411,1379,255,516,63,545,4032,149,865,1249,1769
Oneida,1995,4972,1282,300,362,50,570,3690,139,1044,1071,1436
Onondaga,1995,14530,4351,922,1437,173,1819,10179,754,1459,3666,4300
Ontario,1995,2467,527,67,98,111,251,1940,50,475,536,879
Orange,1995,9473,2169,427,578,192,972,7304,744,1222,2473,2865
Orleans,1995,867,200,20,53,36,91,667,20,179,183,285
Oswego,1995,2466,545,30,147,56,312,1921,30,480,586,825
Otsego,1995,1469,235,19,59,27,130,1234,24,281,356,573
Putnam,1995,1423,367,120,62,25,160,1056,81,375,220,380
Queens,1995,45204,19846,4069,8771,34,6972,25358,5547,1768,7971,10072
Rensselaer,1995,3358,833,181,249,56,347,2525,118,513,714,1180
Richmond,1995,8552,3616,897,1599,0,1120,4936,894,382,1505,2155
Rockland,1995,3304,969,222,293,73,381,2335,348,486,712,789
Saratoga,1995,3903,787,61,186,109,431,3116,54,853,831,1378
Schenectady,1995,2829,768,144,241,42,341,2061,190,412,641,818
Schoharie,1995,633,126,15,25,19,67,507,24,146,135,202
Schuyler,1995,417,103,9,12,18,64,314,8,66,81,159
Seneca,1995,859,159,5,31,29,94,700,16,146,165,373
Steuben,1995,1957,463,31,129,81,222,1494,37,365,459,633
St. Lawrence,1995,2583,549,53,128,55,313,2034,37,482,706,809
Suffolk,1995,22318,7111,1252,1812,441,3606,15207,2118,4485,2761,5843
Sullivan,1995,2361,711,58,251,54,348,1650,91,338,477,744
Tioga,1995,974,181,12,33,43,93,793,9,185,187,412
Tompkins,1995,2194,437,64,101,37,235,1757,59,349,658,691
Ulster,1995,5105,1203,221,268,130,584,3902,355,875,1051,1621
Unknown-NonNYS,1995,110,102,21,25,2,54,8,0,2,2,4
Unknown NYC county,1995,23,17,5,9,0,3,6,0,0,0,6
Warren,1995,2050,476,29,131,45,271,1574,25,380,401,768
Washington,1995,1620,287,19,76,46,146,1333,21,457,277,578
Wayne,1995,2876,605,66,133,120,286,2271,108,358,694,1111
Westchester,1995,15292,4645,857,1413,209,2166,10647,1306,1937,4051,3353
Wyoming,1995,846,173,7,40,39,87,673,22,239,144,268
Yates,1995,471,97,6,17,23,51,374,5,100,83,186
Albany,1994,10003,2987,736,875,132,1244,7016,880,1176,2309,2651
Allegany,1994,1019,218,8,59,37,114,801,12,245,207,337
Bronx,1994,63890,33294,13143,11350,9,8792,30596,8771,1074,11486,9265
Broome,1994,5295,1183,268,311,128,476,4112,388,631,1498,1595
Cattaraugus,1994,1830,380,39,95,66,180,1450,20,369,467,594
Cayuga,1994,1669,366,45,121,29,171,1303,40,252,487,524
Chautauqua,1994,3496,682,119,191,98,274,2814,41,738,870,1165
Chemung,1994,2296,432,78,98,54,202,1864,41,377,711,735
Chenango,1994,1179,223,7,42,31,143,956,13,230,275,438
Clinton,1994,1970,450,20,98,59,273,1520,34,439,518,529
Columbia,1994,1132,331,42,98,48,143,801,42,215,220,324
Cortland,1994,1343,198,8,72,4,114,1145,27,316,350,452
Delaware,1994,1330,202,8,46,21,127,1128,4,300,332,492
Dutchess,1994,6498,1613,376,330,179,728,4885,299,1325,1569,1692
Erie,1994,26777,8236,1779,2852,297,3308,18541,2648,3000,6829,6064
Essex,1994,704,188,11,59,15,103,516,10,194,130,182
Franklin,1994,1202,248,7,65,29,147,954,13,276,241,424
Fulton,1994,1334,275,8,65,27,175,1059,12,225,400,422
Genesee,1994,1373,264,19,74,59,112,1109,21,321,320,447
Greene,1994,1002,272,28,67,38,139,730,31,244,225,230
Hamilton,1994,90,11,0,5,3,3,79,0,35,25,19
Herkimer,1994,1185,255,28,75,40,112,930,22,325,256,327
Jefferson,1994,2743,623,66,153,87,317,2120,55,722,623,720
Kings,1994,80677,39888,10115,17829,41,11903,40789,10592,1517,15492,13188
Lewis,1994,456,144,7,26,24,87,312,15,111,72,114
Livingston,1994,1382,173,4,31,19,119,1209,15,418,337,439
Madison,1994,1296,195,22,36,17,120,1101,11,330,363,397
Monroe,1994,19253,4712,1064,1571,362,1715,14541,912,1795,6042,5792
Montgomery,1994,1191,172,24,33,30,85,1019,31,286,289,413
Nassau,1994,19314,6397,1128,1714,327,3228,12917,1216,3610,4618,3473
New York,1994,112674,41867,15904,13531,45,12387,70807,17776,1337,35325,16369
Niagara,1994,5219,1229,224,400,60,545,3990,176,928,1291,1595
Oneida,1994,4888,1135,227,332,45,531,3753,152,1121,1052,1428
Onondaga,1994,12844,3973,892,1250,171,1660,8871,715,1568,3277,3311
Ontario,1994,2274,496,69,103,133,191,1778,35,477,506,760
Orange,1994,9337,2366,471,649,215,1031,6971,777,1323,2203,2668
Orleans,1994,926,238,49,65,51,73,688,8,216,197,267
Oswego,1994,2513,604,23,157,76,348,1909,20,612,552,725
Otsego,1994,1413,271,13,58,35,165,1142,14,330,313,485
Putnam,1994,1562,352,90,71,19,172,1210,80,458,281,391
Queens,1994,43384,19616,4557,8648,32,6379,23768,4733,1327,8149,9559
Rensselaer,1994,3071,821,184,238,61,338,2250,106,555,616,973
Richmond,1994,7193,3336,721,1454,0,1161,3857,702,391,1159,1605
Rockland,1994,3039,921,201,246,77,397,2118,339,542,539,698
Saratoga,1994,3738,711,52,201,111,347,3027,54,888,850,1235
Schenectady,1994,2733,796,123,246,38,389,1937,125,406,684,722
Schoharie,1994,666,121,7,23,25,66,545,21,215,120,189
Schuyler,1994,382,78,3,14,21,40,304,5,106,60,133
Seneca,1994,820,177,5,37,32,103,643,16,131,145,351
Steuben,1994,1926,442,30,113,78,221,1484,42,356,502,584
St. Lawrence,1994,2437,554,33,118,82,321,1883,112,464,570,737
Suffolk,1994,21650,7050,1336,1887,302,3525,14600,1780,4588,2639,5593
Sullivan,1994,2713,832,87,323,70,352,1881,109,399,548,825
Tioga,1994,1034,211,6,37,36,132,823,25,184,183,431
Tompkins,1994,2231,388,44,88,18,238,1843,113,287,693,750
Ulster,1994,5035,1308,245,309,140,614,3727,412,907,930,1478
Unknown-NonNYS,1994,99,95,17,34,1,43,4,0,0,2,2
Unknown NYC county,1994,45,41,4,16,0,21,4,0,0,2,2
Warren,1994,2172,387,24,115,38,210,1785,43,473,457,812
Washington,1994,1377,240,20,72,23,125,1137,10,378,228,521
Wayne,1994,2665,589,82,130,77,300,2076,69,340,584,1083
Westchester,1994,14953,4530,896,1444,168,2022,10423,1498,2060,3809,3056
Wyoming,1994,813,174,6,45,38,85,639,6,195,146,292
Yates,1994,426,88,5,11,25,47,338,4,96,87,151
Albany,1993,10182,2918,760,860,149,1149,7264,797,1308,2250,2909
Allegany,1993,1000,221,13,59,28,121,779,7,229,210,333
Bronx,1993,51831,29740,11030,10825,7,7878,22091,5995,944,7934,7218
Broome,1993,4986,1127,239,311,110,467,3859,283,657,1432,1487
Cattaraugus,1993,1525,309,17,56,73,163,1216,17,404,357,438
Cayuga,1993,1748,392,66,101,20,205,1356,36,260,530,530
Chautauqua,1993,3353,582,93,154,94,241,2771,78,755,826,1112
Chemung,1993,2122,410,74,77,67,192,1712,38,395,595,684
Chenango,1993,1122,160,5,41,27,87,962,11,260,244,447
Clinton,1993,1996,458,26,111,73,248,1538,42,526,521,449
Columbia,1993,1146,322,64,86,30,142,824,28,182,237,377
Cortland,1993,1344,200,9,73,4,114,1144,10,345,343,446
Delaware,1993,1381,248,10,70,28,140,1133,9,291,298,535
Dutchess,1993,6476,1725,359,414,199,753,4751,253,1308,1525,1665
Erie,1993,26572,8133,1774,2706,260,3393,18439,2891,2937,6688,5923
Essex,1993,688,168,9,47,23,89,520,11,196,113,200
Franklin,1993,1264,255,16,61,55,123,1009,14,350,241,404
Fulton,1993,1217,218,11,64,27,116,999,18,272,343,366
Genesee,1993,1317,265,19,61,44,141,1052,27,290,313,422
Greene,1993,1148,274,41,56,44,133,874,40,312,256,266
Hamilton,1993,114,33,0,9,7,17,81,3,45,20,13
Herkimer,1993,1282,271,37,75,34,125,1011,10,392,244,365
Jefferson,1993,2684,545,42,127,96,280,2139,64,745,595,735
Kings,1993,63162,35119,9486,15485,13,10135,28043,6935,1528,11002,8578
Lewis,1993,465,131,7,28,17,79,334,1,135,67,131
Livingston,1993,1516,220,27,52,28,113,1296,27,409,327,533
Madison,1993,1279,203,14,53,11,125,1076,12,304,326,434
Monroe,1993,18868,4840,947,1581,353,1959,14028,735,1688,6276,5329
Montgomery,1993,1271,254,57,55,40,102,1017,38,346,273,360
Nassau,1993,18827,6175,1106,1775,338,2956,12652,833,3968,4702,3149
New York,1993,96868,38849,13583,13533,88,11645,58019,11273,1350,29093,16303
Niagara,1993,4755,1169,165,382,64,558,3586,144,850,1239,1353
Oneida,1993,4873,1030,201,327,38,464,3843,151,1146,1139,1407
Onondaga,1993,12845,3800,754,1365,185,1496,9045,798,1803,3297,3147
Ontario,1993,2222,464,60,77,100,227,1758,29,354,591,784
Orange,1993,9376,2211,458,636,216,901,7165,736,1422,2214,2793
Orleans,1993,975,226,32,47,41,106,749,18,225,210,296
Oswego,1993,2502,529,27,169,61,272,1973,27,641,558,747
Otsego,1993,1445,286,5,89,27,165,1159,14,320,333,492
Putnam,1993,1737,425,129,86,18,192,1312,93,512,213,494
Queens,1993,37161,19049,4714,8583,14,5738,18112,2907,1326,7073,6806
Rensselaer,1993,3321,857,202,261,57,337,2464,167,640,759,898
Richmond,1993,6110,2917,487,1380,1,1049,3193,343,494,1027,1329
Rockland,1993,3075,917,247,257,78,335,2158,285,586,543,744
Saratoga,1993,3826,699,65,179,94,361,3127,63,974,799,1291
Schenectady,1993,3249,847,191,258,41,357,2402,158,637,689,918
Schoharie,1993,734,121,9,30,19,63,613,18,206,164,225
Schuyler,1993,428,94,7,26,17,44,334,3,97,74,160
Seneca,1993,817,149,13,43,24,69,668,18,134,154,362
Steuben,1993,1882,456,36,108,67,245,1426,41,390,434,561
St. Lawrence,1993,2719,528,37,110,78,303,2191,86,689,650,766
Suffolk,1993,18933,6000,1231,1886,194,2689,12933,1249,4220,2563,4901
Sullivan,1993,2641,788,89,283,57,359,1853,107,383,543,820
Tioga,1993,1083,208,17,30,49,112,875,25,245,175,430
Tompkins,1993,2134,420,48,121,31,220,1714,45,340,717,612
Ulster,1993,5162,1410,256,326,155,673,3752,322,999,993,1438
Unknown-NonNYS,1993,112,104,20,43,0,41,8,0,1,4,3
Unknown NYC county,1993,28,23,4,3,0,16,5,0,0,1,4
Warren,1993,2197,415,13,131,39,232,1782,9,453,492,828
Washington,1993,1555,281,10,80,33,158,1274,15,435,291,533
Wayne,1993,2620,525,57,113,79,276,2095,74,363,610,1048
Westchester,1993,15510,4691,1066,1348,202,2075,10819,1564,2244,3836,3175
Wyoming,1993,781,215,3,47,43,122,566,8,158,143,257
Yates,1993,433,79,1,16,21,41,354,1,93,77,183
Albany,1992,10190,2786,598,842,182,1164,7404,765,1406,2462,2771
Allegany,1992,918,218,8,65,17,128,700,7,194,203,296
Bronx,1992,48948,30101,10996,10724,2,8379,18847,5188,1044,5600,7015
Broome,1992,4982,1204,253,320,143,488,3778,261,762,1337,1418
Cattaraugus,1992,1424,258,24,51,59,124,1166,20,422,326,398
Cayuga,1992,1793,405,46,104,22,233,1388,30,336,513,509
Chautauqua,1992,3359,662,105,153,116,288,2697,36,737,855,1069
Chemung,1992,2311,490,95,92,73,230,1821,30,371,675,745
Chenango,1992,1207,238,16,44,39,139,969,19,257,305,388
Clinton,1992,1939,469,56,112,55,246,1470,30,488,519,433
